path,line,category,comment_like,excerpt
kubejs/client_scripts/Mekanism-Tooltips.js,10,text_component,False,"Text.red('Increased Energy Consumption!'),"
kubejs/client_scripts/Mekanism-Tooltips.js,11,text_component,False,Text.green('Increased Energy Capacity')
kubejs/client_scripts/Mekanism-Tooltips.js,15,text_component,False,"Text.red('Increased Energy Consumption!'),"
kubejs/client_scripts/Mekanism-Tooltips.js,16,text_component,False,"Text.green('Increased Energy Capacity!'),"
kubejs/client_scripts/Mekanism-Tooltips.js,17,text_component,False,Text.green('Increased Attack Speed & Damage!')
kubejs/client_scripts/Mekanism-Tooltips.js,24,text_component,False,Text.green('Increased Energy Capacity & Production!')
kubejs/client_scripts/Mekanism-Tooltips.js,28,text_component,False,Text.green('Increased Energy Capacity & Production!')
kubejs/client_scripts/Mekanism-Tooltips.js,32,text_component,False,Text.green('Increased Energy Capacity & Production!')
kubejs/client_scripts/Mekanism-Tooltips.js,36,text_component,False,Text.green('Increased Energy Capacity & Production!')
kubejs/client_scripts/Mekanism-Tooltips.js,40,text_component,False,"Text.red('Decreased Energy Production!'),"
kubejs/client_scripts/Mekanism-Tooltips.js,41,text_component,False,Text.red('Increased Fuel Consumption!')
kubejs/client_scripts/Mekanism-Tooltips.js,45,text_component,False,"Text.red('Decreased Energy Production!'),"
kubejs/client_scripts/Mekanism-Tooltips.js,49,text_component,False,"Text.red('Decreased Energy Production!'),"
kubejs/client_scripts/Mekanism-Tooltips.js,50,text_component,False,"Text.green('Decreased Fuel Consumption!'),"
kubejs/client_scripts/Mekanism-Tooltips.js,54,text_component,False,"Text.green('Increased Production Speed!'),"
kubejs/client_scripts/Mekanism-Tooltips.js,58,text_component,False,"Text.green('Increased Production Speed!'),"
kubejs/client_scripts/Mekanism-Tooltips.js,65,text_component,False,Text.green('Increased Machine Boost!')
kubejs/client_scripts/Mekanism-Tooltips.js,69,text_component,False,Text.green('Increased Decay Rate!')
kubejs/client_scripts/Mekanism-Tooltips.js,73,text_component,False,Text.green('Increased Production Speed!')
kubejs/client_scripts/Mekanism-Tooltips.js,77,text_component,False,"Text.green('Increased Production Speed!'),"
kubejs/client_scripts/Mekanism-Tooltips.js,78,text_component,False,Text.green('Waste -> Polonium buffed!')
kubejs/client_scripts/Mekanism-Tooltips.js,82,text_component,False,Text.green('Waste -> Plutonium buffed!')
kubejs/client_scripts/Mekanism-Tooltips.js,86,text_component,False,Text.green('Increased Production Speed!')
kubejs/client_scripts/Mekanism-Tooltips.js,90,text_component,False,Text.green('Decreased Energy Consumption!')
kubejs/client_scripts/ponder/fission_mek.js,33,ponder,False,"scene.text(80, 'The Edges Must Be Casings', [0, 4.5, 4.5]).placeNearTarget();"
kubejs/client_scripts/ponder/fission_mek.js,73,ponder,False,"scene.text(80, 'The Walls Can Be Either Casings Or Glass', [0, 2.5, 2.5]).placeNearTarget();"
kubejs/client_scripts/ponder/fission_mek.js,85,ponder,False,"scene.text(60, 'Place Fuel Assembly Blocks Inside To Make The Fuel Rods', [2.5, 2.5, 2.5]).placeNearTarget();"
kubejs/client_scripts/ponder/fission_mek.js,98,ponder,False,"scene.text(60, 'Place Control Rod Assembly At The Top Of Each Fuel Rod', [2.5, 3.5, 2.5]).placeNearTarget();"
kubejs/client_scripts/ponder/fission_mek.js,117,ponder,True,"//	.text(40, 'Right Click With Comparator For Redstone Control', [1, 1.5, 2])"
kubejs/client_scripts/ponder/fission_mek_fuelrod.js,19,ponder,False,"scene.text(80, 'Place Fuel Assembly Blocks Inside To Make The Fuel Rods', [2.5, 2.5, 2.5]).placeNearTarget().attachKeyFrame();"
kubejs/client_scripts/ponder/fission_mek_fuelrod.js,27,ponder,False,"scene.text(120, 'Fuel Rods are created with several Fission Fuel Assembly blocks with a Control Rod Assembly on top.', [1.5, 2.5, 2.5]).placeNearTarget();"
kubejs/client_scripts/ponder/fission_mek_fuelrod.js,34,ponder,False,"scene.text(80, 'Place Control Rod Assembly At The Top Of Each Fuel Rod', [1.5, 3.5, 2.5]).placeNearTarget().attachKeyFrame();"
kubejs/client_scripts/ponder/fission_mek_fuelrod.js,37,ponder,False,"scene.text(80, 'Control Rod Assembly blocks are placed 1 block from the ceiling.', [1.5, 3.5, 2.5]).placeNearTarget().attachKeyFrame();"
