candidate,namespace,current_en_keys,legacy_ko_keys,shared_key_candidates,missing_in_legacy,legacy_only_keys,current_key_coverage_percent,note
all-the-mods-10_5.4_resourcepack.zip,zerocore,50,50,50,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,yet_another_config_lib_v3,26,26,26,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,xycraft_world,324,324,324,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,xycraft_override,135,135,135,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,xycraft_machines,225,225,225,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,xycraft_core,106,106,106,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,xtonesreworked,547,547,547,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,xnet,186,186,186,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,wstweaks,2,2,2,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,wirelesschargers,23,23,23,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,waystones,261,253,186,75,67,71.26,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,variantsandventures,122,111,111,11,0,90.98,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,utilityvest,36,24,24,12,0,66.67,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,utilitarian,111,79,79,32,0,71.17,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,universalgrid,16,16,16,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,undergarden,679,673,673,6,0,99.12,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,twilightforest,2061,1830,1823,238,7,88.45,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,trophymanager,3,2,2,1,0,66.67,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,treetap,8,8,8,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,trashslot,24,24,12,12,12,50.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,trashcans,32,32,32,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,transfer_labels,21,21,21,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,torchmaster,32,32,32,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,toolbelt,13,13,13,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,tombstone,1233,1233,1228,5,5,99.59,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,toastcontrol,2,2,2,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,titanium,53,53,53,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,tiab,4,4,4,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,the_bumblezone,1788,1773,1773,15,0,99.16,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,theurgy,2744,2744,2744,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,tesseract_api,4,4,4,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,terrablender,2,2,2,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,tempad_static,84,123,74,10,49,88.10,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,tempad,164,164,164,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,sushigocrafting,108,3,0,108,3,0.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,supplementaries,683,677,677,6,0,99.12,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,structurize,236,231,231,5,0,97.88,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,storagedelight,143,104,104,39,0,72.73,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,stevescarts,709,680,680,29,0,95.91,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,starbunclemania,150,149,149,1,0,99.33,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,soulplied_energistics,4,4,4,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,sophisticatedstorageinmotion,8,8,8,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,sophisticatedstorage,404,292,292,112,0,72.28,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,sophisticatedcore,300,301,278,22,23,92.67,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,sophisticatedbackpacks,396,257,248,148,9,62.63,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,solcarrot,60,60,60,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,smithingtemplateviewer,1,1,1,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,simplylight,192,192,192,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,simple_weather,19,19,19,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,simplemagnets,38,38,38,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,simplebackups,40,35,35,5,0,87.50,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,silentlib,5,5,5,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,silentgems,118,115,115,3,0,97.46,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,silentgear,1191,1063,1059,132,4,88.92,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,shrink,12,12,12,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,shiny,137,136,136,1,0,99.27,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,sgearmetalworks,132,132,132,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,sfm,280,259,257,23,2,91.79,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,securitycraft,1521,1521,1521,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,searchables,1,1,1,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,sawmill,7,7,7,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,rootsclassic,483,483,483,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,rftoolsutility,242,242,242,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,rftoolsstorage,41,41,41,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,rftoolspower,65,65,65,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,rftoolsbuilder,97,92,92,5,0,94.85,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,rftoolsbase,55,2,0,55,2,0.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,restrictions,12,12,12,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,repurposed_structures,163,163,163,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,repeatable_trial_vaults,1,1,1,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,reliquary,551,363,363,188,0,65.88,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,relics,547,261,17,530,244,3.11,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,regions_unexplored,836,836,836,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,refurbished_furniture,654,652,652,2,0,99.69,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,refinedtypes,164,152,152,12,0,92.68,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,refinedstorage_quartz_arsenal,22,22,22,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
all-the-mods-10_5.4_resourcepack.zip,refinedstorage_mekanism_integration,37,37,37,0,0,100.00,키 교집합만 계산; 번역 품질과 원문 동일성은 검증하지 않음
