kind,object_id,chapter_id,chapter_file,source_value,current_korean,fallback_value,item_id,resourcepack_translation,problem_type,applied_fix
task,0A47948D921AFC10,792AD692F1468B1F,achapter_2r_6the_atm_star.snbt,,,ATM의 별,allthetweaks:atm_star,,명시적 task.title 없이 아이템 hover 사용,
task,30026129352C0400,792AD692F1468B1F,achapter_2r_6the_atm_star.snbt,,,Rune Block,forbidden_arcanus:rune_block,,명시적 task.title 없이 아이템 hover 사용,
task,3D83108EE90D57D2,792AD692F1468B1F,achapter_2r_6the_atm_star.snbt,,,Quantum Injector,forbidden_arcanus:quantum_injector,,명시적 task.title 없이 아이템 hover 사용,
task,6EBC44E6FDA8A350,792AD692F1468B1F,achapter_2r_6the_atm_star.snbt,,,Arcane Crystal Block,forbidden_arcanus:arcane_crystal_block,,명시적 task.title 없이 아이템 hover 사용,
task,5505E283F8AD3836,792AD692F1468B1F,achapter_2r_6the_atm_star.snbt,,,Arcane Polished Darkstone Pillar,forbidden_arcanus:arcane_polished_darkstone_pillar,,명시적 task.title 없이 아이템 hover 사용,
task,4195C1BD50752800,792AD692F1468B1F,achapter_2r_6the_atm_star.snbt,,,Arcane Polished Darkstone,forbidden_arcanus:arcane_polished_darkstone,,명시적 task.title 없이 아이템 hover 사용,
task,37611E2C947B4D12,792AD692F1468B1F,achapter_2r_6the_atm_star.snbt,,,Polished Darkstone Stairs,forbidden_arcanus:polished_darkstone_stairs,,명시적 task.title 없이 아이템 hover 사용,
task,722BF5811AE5CD2C,792AD692F1468B1F,achapter_2r_6the_atm_star.snbt,,,Gilded Chiseled Polished Darkstone,forbidden_arcanus:gilded_chiseled_polished_darkstone,,명시적 task.title 없이 아이템 hover 사용,
task,7E2C80E3065D9F70,792AD692F1468B1F,achapter_2r_6the_atm_star.snbt,,,Polished Darkstone,forbidden_arcanus:polished_darkstone,,명시적 task.title 없이 아이템 hover 사용,
task,1A074A68B6495F89,792AD692F1468B1F,achapter_2r_6the_atm_star.snbt,,,,modern_industrialization:runic_crucible,,명시적 task.title 없이 아이템 hover 사용,
task,13537E6BC509C205,792AD692F1468B1F,achapter_2r_6the_atm_star.snbt,,,,modern_industrialization:auto_forge,,명시적 task.title 없이 아이템 hover 사용,
task,1C16EA0ED72AA58D,792AD692F1468B1F,achapter_2r_6the_atm_star.snbt,,,Quantum Injector,forbidden_arcanus:quantum_injector,,명시적 task.title 없이 아이템 hover 사용,
task,7132EDBAF11818AF,792AD692F1468B1F,achapter_2r_6the_atm_star.snbt,,,,forbidden_arcanus:hephaestus_forge_tier_5,,명시적 task.title 없이 아이템 hover 사용,
task,3898B85A22E7379E,792AD692F1468B1F,achapter_2r_6the_atm_star.snbt,,,Darkstone Pedestal,forbidden_arcanus:darkstone_pedestal,,명시적 task.title 없이 아이템 hover 사용,
