jar,bytes,status,namespaces,namespace_count,has_en_us,has_ko_kr,classification,error
[1.21.1] SecurityCraft v1.10.1.jar,4951098,ok,securitycraft,1,True,True,en_and_ko,
[Neoforge]ctov-3.6.3.jar,7139609,ok,ctov,1,True,True,en_and_ko,
accelerated-decay-neoforge-21.0.0.jar,10478,ok,accelerateddecay,1,True,False,en_only,
actuallyadditions-1.3.26+mc1.21.1.jar,3217309,ok,actuallyadditions,1,True,False,en_only,
additional_lights-neoforge-1.21-2.1.10.jar,514194,ok,additional_lights,1,True,True,en_and_ko,
AdditionalEnchantedMiner-1.21.1-neoforge-21.1.153.jar,694672,ok,quarryplus,1,True,True,en_and_ko,
AdvancedAE-1.6.11-1.21.1.jar,4797100,ok,advanced_ae,1,True,True,en_and_ko,
AdvancedPeripherals-1.21.1-0.7.62b.jar,936602,ok,advancedperipherals,1,True,True,en_and_ko,
ae2ct-1.21.1-1.1.1.jar,437906,ok,ae2ct,1,True,False,en_only,
ae2importexportcard-1.21.1-1.5.0.jar,420675,ok,ae2importexportcard,1,True,True,en_and_ko,
ae2jeiintegration-1.2.1.jar,91710,ok,,0,False,False,no_target_language_file,
AE2NetworkAnalyzer-1.21-2.1.5-neoforge.jar,1686091,ok,ae2netanalyser,1,True,False,en_only,
ae2wtlib-19.5.0.jar,251969,ok,ae2wtlib,1,True,True,en_and_ko,
aeinfinitybooster-neoforge-1.21.1-1.0.0.54.jar,30409,ok,aeinfinitybooster,1,True,True,en_and_ko,
aether-1.21.1-1.5.10-neoforge.jar,40223909,ok,aether,1,True,True,en_and_ko,
AI-Improvements-1.21-0.5.3.jar,28984,ok,,0,False,False,no_target_language_file,
AkashicTome-1.8-30.jar,50256,ok,akashictome,1,True,True,en_and_ko,
allthearcanistgear-1.21.1-21.3.2.jar,375904,ok,allthearcanistgear,1,True,False,en_only,
allthecompressed-1.21.1-4.4.0.jar,5901446,ok,allthecompressed,1,True,True,en_and_ko,
alltheleaks-1.1.9+1.21.1-neoforge.jar,536836,ok,,0,False,False,no_target_language_file,
allthemodium-3.0.1_mc_1.21.1.jar,1966440,ok,allthemodium,1,True,False,en_only,
alltheores-3.2.0_neoforge_1.21.1.jar,1645297,ok,alltheores,1,True,True,en_and_ko,
allthetweaks-1.21.1-2.9.4.jar,4919090,ok,allthetweaks,1,True,True,en_and_ko,
allthewizardgear-1.21.1-1.1.12.jar,111938,ok,allthewizardgear,1,True,True,en_and_ko,
almostunified-neoforge-1.21.1-1.4.2.jar,295093,ok,almostunified,1,True,False,en_only,
amendments-neoforge-1.21-2.1.1.jar,1154153,ok,amendments,1,True,True,en_and_ko,
Apotheosis-1.21.1-8.5.4.jar,6949410,ok,apotheosis,1,True,True,en_and_ko,
ApothicAttributes-1.21.1-2.9.1.jar,314269,ok,apothic_attributes,1,True,True,en_and_ko,
ApothicEnchanting-1.21.1-1.5.3.jar,5354706,ok,apothic_enchanting,1,True,True,en_and_ko,
ApothicSpawners-1.21.1-1.3.4.jar,125015,ok,apothic_spawners,1,True,False,en_only,
appleskin-neoforge-mc1.21-3.0.9.jar,75804,ok,appleskin,1,True,True,en_and_ko,
Applied-Mekanistics-1.6.3.jar,149709,ok,appmek,1,True,True,en_and_ko,
appliedenergistics2-19.2.17.jar,8230896,ok,ae2,1,True,True,en_and_ko,
AppliedFlux-1.21-2.1.5-neoforge.jar,345117,ok,appflux,1,True,False,en_only,
Aquaculture-1.21.1-2.7.21.jar,605949,ok,aquaculture,1,True,True,en_and_ko,
architectury-13.0.8-neoforge.jar,584004,ok,,0,False,False,no_target_language_file,
ars_additions-1.21.1-21.3.0.jar,1458261,ok,ars_additions,1,True,False,en_only,
ars_controle-1.21.1-1.6.15.jar,316368,ok,ars_controle,1,True,True,en_and_ko,
ars_creo-1.21.1-5.4.0.jar,95973,ok,ars_creo,1,True,False,en_only,
ars_elemancy-1.21.1-1.17.jar,762355,ok,ars_elemancy,1,True,True,en_and_ko,
ars_elemental-1.21.1-0.7.10.0.jar,2251716,ok,ars_elemental,1,True,True,en_and_ko,
ars_nouveau-1.21.1-5.12.0.jar,20721876,ok,ars_nouveau,1,True,True,en_and_ko,
ars_ocultas-1.21.1-2.4.1.jar,78526,ok,ars_ocultas,1,True,False,en_only,
ars_polymorphia-1.0.3.jar,20201,ok,,0,False,False,no_target_language_file,
ars_technica-1.21.1-2.7.6.jar,3691171,ok,ars_technica,1,True,False,en_only,
