chapter,en_path,ko_path,ko_exists,en_estimated_keys,ko_estimated_keys,shared_estimated_keys,missing_in_ko_estimated,ko_only_estimated
achapter_2r_6the_atm_star,config/ftbquests/quests/lang/en_us/chapters/achapter_2r_6the_atm_star.snbt,config/ftbquests/quests/lang/ko_kr/chapters/achapter_2r_6the_atm_star.snbt,True,76,76,76,0,0
aether,config/ftbquests/quests/lang/en_us/chapters/aether.snbt,config/ftbquests/quests/lang/ko_kr/chapters/aether.snbt,False,161,0,0,161,0
allthemodium,config/ftbquests/quests/lang/en_us/chapters/allthemodium.snbt,config/ftbquests/quests/lang/ko_kr/chapters/allthemodium.snbt,True,116,116,116,0,0
apotheosis_2,config/ftbquests/quests/lang/en_us/chapters/apotheosis_2.snbt,config/ftbquests/quests/lang/ko_kr/chapters/apotheosis_2.snbt,True,67,40,27,40,13
apotheosis_gear,config/ftbquests/quests/lang/en_us/chapters/apotheosis_gear.snbt,config/ftbquests/quests/lang/ko_kr/chapters/apotheosis_gear.snbt,False,65,0,0,65,0
apothic_enchanting,config/ftbquests/quests/lang/en_us/chapters/apothic_enchanting.snbt,config/ftbquests/quests/lang/ko_kr/chapters/apothic_enchanting.snbt,True,135,54,54,81,0
applied_energistics_2,config/ftbquests/quests/lang/en_us/chapters/applied_energistics_2.snbt,config/ftbquests/quests/lang/ko_kr/chapters/applied_energistics_2.snbt,True,175,171,171,4,0
ars_nouveau,config/ftbquests/quests/lang/en_us/chapters/ars_nouveau.snbt,config/ftbquests/quests/lang/ko_kr/chapters/ars_nouveau.snbt,True,76,76,76,0,0
artifacts,config/ftbquests/quests/lang/en_us/chapters/artifacts.snbt,config/ftbquests/quests/lang/ko_kr/chapters/artifacts.snbt,True,149,149,149,0,0
auroral,config/ftbquests/quests/lang/en_us/chapters/auroral.snbt,config/ftbquests/quests/lang/ko_kr/chapters/auroral.snbt,False,46,0,0,46,0
basic_armor,config/ftbquests/quests/lang/en_us/chapters/basic_armor.snbt,config/ftbquests/quests/lang/ko_kr/chapters/basic_armor.snbt,True,347,347,347,0,0
basic_logistics,config/ftbquests/quests/lang/en_us/chapters/basic_logistics.snbt,config/ftbquests/quests/lang/ko_kr/chapters/basic_logistics.snbt,True,76,73,73,3,0
basic_power,config/ftbquests/quests/lang/en_us/chapters/basic_power.snbt,config/ftbquests/quests/lang/ko_kr/chapters/basic_power.snbt,True,95,87,87,8,0
basic_tools,config/ftbquests/quests/lang/en_us/chapters/basic_tools.snbt,config/ftbquests/quests/lang/ko_kr/chapters/basic_tools.snbt,True,110,109,107,3,2
bounty_board,config/ftbquests/quests/lang/en_us/chapters/bounty_board.snbt,config/ftbquests/quests/lang/ko_kr/chapters/bounty_board.snbt,True,54,56,54,0,2
building_tips,config/ftbquests/quests/lang/en_us/chapters/building_tips.snbt,config/ftbquests/quests/lang/ko_kr/chapters/building_tips.snbt,True,255,239,239,16,0
bumblezone,config/ftbquests/quests/lang/en_us/chapters/bumblezone.snbt,config/ftbquests/quests/lang/ko_kr/chapters/bumblezone.snbt,True,189,189,189,0,0
cataclysm,config/ftbquests/quests/lang/en_us/chapters/cataclysm.snbt,config/ftbquests/quests/lang/ko_kr/chapters/cataclysm.snbt,True,230,175,175,55,0
chapter_2_the_star,config/ftbquests/quests/lang/en_us/chapters/chapter_2_the_star.snbt,config/ftbquests/quests/lang/ko_kr/chapters/chapter_2_the_star.snbt,True,246,220,220,26,0
create,config/ftbquests/quests/lang/en_us/chapters/create.snbt,config/ftbquests/quests/lang/ko_kr/chapters/create.snbt,True,217,45,43,174,2
deeper_and_darker,config/ftbquests/quests/lang/en_us/chapters/deeper_and_darker.snbt,config/ftbquests/quests/lang/ko_kr/chapters/deeper_and_darker.snbt,False,91,0,0,91,0
draconic_evolution,config/ftbquests/quests/lang/en_us/chapters/draconic_evolution.snbt,config/ftbquests/quests/lang/ko_kr/chapters/draconic_evolution.snbt,False,254,0,0,254,0
elmystical_agriculturerr,config/ftbquests/quests/lang/en_us/chapters/elmystical_agriculturerr.snbt,config/ftbquests/quests/lang/ko_kr/chapters/elmystical_agriculturerr.snbt,True,278,257,257,21,0
eternal_starlight,config/ftbquests/quests/lang/en_us/chapters/eternal_starlight.snbt,config/ftbquests/quests/lang/ko_kr/chapters/eternal_starlight.snbt,True,299,131,127,172,4
