jar,namespace,en_path,ko_path,en_status,ko_status,en_keys,ko_keys,shared_keys,missing_in_ko,ko_only_keys,error
[1.21.1] SecurityCraft v1.10.2.1.jar,securitycraft,assets/securitycraft/lang/en_us.json,assets/securitycraft/lang/ko_kr.json,ok,ok,1564,1013,1012,552,1,
[Neoforge]ctov-3.6.3.jar,ctov,assets/ctov/lang/en_us.json,assets/ctov/lang/ko_kr.json,ok,ok,74,74,74,0,0,
accelerated-decay-neoforge-21.0.0.jar,accelerateddecay,assets/accelerateddecay/lang/en_us.json,,ok,missing,0,0,0,0,0,
actuallyadditions-1.3.26+mc1.21.1.jar,actuallyadditions,assets/actuallyadditions/lang/en_us.json,,ok,missing,1026,0,0,1026,0,
Ad-Astra-Giselle-Addon-neoforge-1.21.1-8.1.jar,ad_astra_giselle_addon,assets/ad_astra_giselle_addon/lang/en_us.json,assets/ad_astra_giselle_addon/lang/ko_kr.json,ok,ok,168,180,162,6,18,
adastra-1.21.1-1.16.19-neoforge.jar,ad_astra,assets/ad_astra/lang/en_us.json,assets/ad_astra/lang/ko_kr.json,ok,ok,831,689,414,417,275,
additional_lights-neoforge-1.21-2.1.10.jar,additional_lights,assets/additional_lights/lang/en_us.json,assets/additional_lights/lang/ko_kr.json,ok,ok,157,157,157,0,0,
AdditionalEnchantedMiner-1.21.1-neoforge-21.1.162.jar,quarryplus,assets/quarryplus/lang/en_us.json,assets/quarryplus/lang/ko_kr.json,ok,ok,241,241,241,0,0,
AdvancedAE-1.6.12-1.21.1.jar,advanced_ae,assets/advanced_ae/lang/en_us.json,assets/advanced_ae/lang/ko_kr.json,ok,ok,246,246,246,0,0,
AdvancedPeripherals-1.21.1-0.8.0a.jar,advancedperipherals,assets/advancedperipherals/lang/en_us.json,assets/advancedperipherals/lang/ko_kr.json,ok,ok,133,89,71,62,18,
ae2ct-1.21.1-1.1.1.jar,ae2ct,assets/ae2ct/lang/en_us.json,,ok,missing,19,0,0,19,0,
ae2importexportcard-1.21.1-1.6.0.jar,ae2importexportcard,assets/ae2importexportcard/lang/en_us.json,assets/ae2importexportcard/lang/ko_kr.json,ok,ok,5,5,5,0,0,
AE2NetworkAnalyzer-1.21-2.1.5-neoforge.jar,ae2netanalyser,assets/ae2netanalyser/lang/en_us.json,,ok,missing,38,0,0,38,0,
ae2wtlib-19.5.1.jar,ae2wtlib,assets/ae2wtlib/lang/en_us.json,assets/ae2wtlib/lang/ko_kr.json,ok,ok,46,26,26,20,0,
aeinfinitybooster-neoforge-1.21.1-1.0.0.58.jar,aeinfinitybooster,assets/aeinfinitybooster/lang/en_us.json,assets/aeinfinitybooster/lang/ko_kr.json,ok,ok,4,3,3,1,0,
aether-1.21.1-1.5.10-neoforge.jar,aether,assets/aether/lang/en_us.json,assets/aether/lang/ko_kr.json,ok,ok,1238,11,11,1227,0,
AkashicTome-1.8-30.jar,akashictome,assets/akashictome/lang/en_us.json,assets/akashictome/lang/ko_kr.json,ok,ok,11,3,3,8,0,
allthearcanistgear-1.21.1-21.3.2.jar,allthearcanistgear,assets/allthearcanistgear/lang/en_us.json,,ok,missing,28,0,0,28,0,
allthecompressed-1.21.1-4.4.0.jar,allthecompressed,assets/allthecompressed/lang/en_us.json,assets/allthecompressed/lang/ko_kr.json,ok,ok,1796,1670,1670,126,0,
allthemodium-3.0.1_mc_1.21.1.jar,allthemodium,assets/allthemodium/lang/en_us.json,,ok,missing,306,0,0,306,0,
alltheores-3.2.0_neoforge_1.21.1.jar,alltheores,assets/alltheores/lang/en_us.json,assets/alltheores/lang/ko_kr.json,ok,ok,516,326,314,202,12,
allthetweaks-1.21.1-2.9.4.jar,allthetweaks,assets/allthetweaks/lang/en_us.json,assets/allthetweaks/lang/ko_kr.json,ok,ok,26,26,26,0,0,
allthewizardgear-1.21.1-1.2.0.jar,allthewizardgear,assets/allthewizardgear/lang/en_us.json,assets/allthewizardgear/lang/ko_kr.json,ok,ok,16,16,16,0,0,
almostunified-neoforge-1.21.1-1.4.2.jar,almostunified,assets/almostunified/lang/en_us.json,,ok,missing,6,0,0,6,0,
amendments-1.21-2.1.9-neoforge.jar,amendments,assets/amendments/lang/en_us.json,assets/amendments/lang/ko_kr.json,ok,ok,108,57,57,51,0,
Apotheosis-1.21.1-8.7.0.jar,apotheosis,assets/apotheosis/lang/en_us.json,assets/apotheosis/lang/ko_kr.json,ok,ok,778,738,737,41,1,
ApothicAttributes-1.21.1-2.10.1.jar,apothic_attributes,assets/apothic_attributes/lang/en_us.json,assets/apothic_attributes/lang/ko_kr.json,ok,ok,161,587,1,160,586,
ApothicEnchanting-1.21.1-1.6.1.jar,apothic_enchanting,assets/apothic_enchanting/lang/en_us.json,assets/apothic_enchanting/lang/ko_kr.json,ok,ok,425,415,415,10,0,
ApothicSpawners-1.21.1-1.4.0.jar,apothic_spawners,assets/apothic_spawners/lang/en_us.json,,ok,missing,89,0,0,89,0,
appleskin-neoforge-mc1.21-3.0.9.jar,appleskin,assets/appleskin/lang/en_us.json,assets/appleskin/lang/ko_kr.json,ok,ok,22,12,12,10,0,
Applied-Mekanistics-1.6.3.jar,appmek,assets/appmek/lang/en_us.json,assets/appmek/lang/ko_kr.json,ok,ok,15,15,15,0,0,
