"kind","object_id","chapter_id","chapter_file","source_value","current_korean","fallback_value","item_id","resourcepack_translation","problem_type","applied_fix"
"task","1A074A68B6495F89","792AD692F1468B1F","achapter_2r_6the_atm_star.snbt","","","","modern_industrialization:runic_crucible","","명시적 task.title 없이 아이템 hover 사용",""
"task","13537E6BC509C205","792AD692F1468B1F","achapter_2r_6the_atm_star.snbt","","","","modern_industrialization:auto_forge","","명시적 task.title 없이 아이템 hover 사용",""
"task","7132EDBAF11818AF","792AD692F1468B1F","achapter_2r_6the_atm_star.snbt","","","","forbidden_arcanus:hephaestus_forge_tier_5","","명시적 task.title 없이 아이템 hover 사용",""
"task","5B01815F8338D67D","792AD692F1468B1F","achapter_2r_6the_atm_star.snbt","","","","modern_industrialization:star_altar","","명시적 task.title 없이 아이템 hover 사용",""
"task","7A2327D70A6D7B81","792AD692F1468B1F","achapter_2r_6the_atm_star.snbt","","","","modern_industrialization:runic_enchanter","","명시적 task.title 없이 아이템 hover 사용",""
"task","4994EFF3C153220F","792AD692F1468B1F","achapter_2r_6the_atm_star.snbt","","","","minecraft:soul_lantern","","명시적 task.title 없이 아이템 hover 사용",""
"task","5BCD83C6A9F1AE62","792AD692F1468B1F","achapter_2r_6the_atm_star.snbt","","","","minecraft:enchanting_table","","명시적 task.title 없이 아이템 hover 사용",""
"quest","3D78D9F4E8A60EDB","792AD692F1468B1F","achapter_2r_6the_atm_star.snbt","&5&lCreative &dSource &fJar","&5&l크리에이티브 &d마나 &f단지","","ars_nouveau:creative_source_jar","크리에이티브 유리 단지","리소스팩 아이템명과 quest.title 불일치","크리에이티브 유리 단지"
"quest","23DE60E57136C207","792AD692F1468B1F","achapter_2r_6the_atm_star.snbt","&5&lCreative &3Energy Battery","&5&l크리에이티브 &3에너지 배터리","","integrateddynamics:energy_battery_creative","크레에이티브 에너지 배터리","리소스팩 아이템명과 quest.title 불일치","크레에이티브 에너지 배터리"
"quest","228CB313BAB6406E","792AD692F1468B1F","achapter_2r_6the_atm_star.snbt","&5&lCreative &8Locomotive","&5&l크리에이티브 &8기관차","","railcraft:creative_locomotive","창의적인 기관차","리소스팩 아이템명과 quest.title 불일치","창의적인 기관차"
"task","6E849DDBE1319A40","792AD692F1468B1F","achapter_2r_6the_atm_star.snbt","","","","kubejs:atm_star_shard_1","","명시적 task.title 없이 아이템 hover 사용",""
"task","243AA6B32F9B4F79","792AD692F1468B1F","achapter_2r_6the_atm_star.snbt","","","","kubejs:atm_star_shard_2","","명시적 task.title 없이 아이템 hover 사용",""
"task","5A1B5978D8C2574C","792AD692F1468B1F","achapter_2r_6the_atm_star.snbt","","","","kubejs:atm_star_shard_5","","명시적 task.title 없이 아이템 hover 사용",""
